ID,STORE,NAME,YEAR,VALUE,DESC
150,MC,Read Along with Ronald,1989,54.00,"Cajita Feliz de McDonald's (1989) - Read Along with Ronald, conjunto de juguetes."
151,MC,Beach Toy Happy Meal,1989,54.00,Cajita Feliz de McDonald's (1989) - Beach Toy Happy Meal.
152,MC,Garfield,1989,54.00,"Cajita Feliz de McDonald's (1989) - Garfield, conjunto de juguetes."
153,MC,Lego Motion,1989,54.00,"Cajita Feliz de McDonald's (1989) - Lego Motion, conjunto de juguetes."
154,MC,Fun with Food,1989,54.00,"Cajita Feliz de McDonald's (1989) - Fun with Food, conjunto de juguetes."
155,MC,Raggedy Ann and Andy,1989,54.00,"Cajita Feliz de McDonald's (1989) - Raggedy Ann and Andy, conjunto de juguetes."
156,MC,Mix'em Up Monsters,1989,54.00,"Cajita Feliz de McDonald's (1989) - Mix'em Up Monsters, conjunto de juguetes."
157,MC,Halloween Pails,1989,54.00,Cajita Feliz de McDonald's (1989) - Halloween Pails.
158,MC,Chip 'n Dale: Rescue Rangers,1989,54.00,"Cajita Feliz de McDonald's (1989) - Chip 'n Dale: Rescue Rangers, conjunto de juguetes."
159,MC,The Little Mermaid,1989,54.00,"Cajita Feliz de McDonald's (1989) - The Little Mermaid, conjunto de juguetes."
160,MC,Funny Fry Friends,1989,54.00,"Cajita Feliz de McDonald's (1989) - Funny Fry Friends, conjunto de juguetes."
161,MC,Burger Six Pack to Go Happy Meal,1989,54.00,"Cajita Feliz de McDonald's (1989) - Burger Six Pack to Go Happy Meal, conjunto de juguetes."
162,MC,Funny Fry Friends,1989,54.00,"Cajita Feliz de McDonald's (1989) - Funny Fry Friends, conjunto de juguetes."
163,MC,Rain or Shine,1989,54.00,"Cajita Feliz de McDonald's (1989) - Rain or Shine, conjunto de juguetes."
164,MC,SeaWorld of Texas,1989,54.00,"Cajita Feliz de McDonald's (1989) - SeaWorld of Texas, conjunto de juguetes."
165,MC,McDonaldland Sunglasses,1989,54.00,"Cajita Feliz de McDonald's (1989) - McDonaldland Sunglasses, conjunto de juguetes."
166,MC,The Berenstain Bears Books,1990,36.00,Cajita Feliz de McDonald's (1990) - The Berenstain Bears Books.
167,MC,Happy Meal from the Heart/Valentine Happy Meal,1990,36.00,"Cajita Feliz de McDonald's (1990) - Happy Meal from the Heart/Valentine Happy Meal, conjunto de juguetes."
168,MC,Peanuts,1990,36.00,"Cajita Feliz de McDonald's (1990) - Peanuts, conjunto de juguetes."
169,MC,Camp McDonaldland,1990,36.00,"Cajita Feliz de McDonald's (1990) - Camp McDonaldland, conjunto de juguetes."
170,MC,Summer Surprise,1990,36.00,"Cajita Feliz de McDonald's (1990) - Summer Surprise, conjunto de juguetes."
171,MC,Beach Toy Happy Meal,1990,36.00,Cajita Feliz de McDonald's (1990) - Beach Toy Happy Meal.
172,MC,Barbie/Hot Wheels,1990,36.00,"Cajita Feliz de McDonald's (1990) - Barbie/Hot Wheels, conjunto de juguetes."
173,MC,I Like Bikes,1990,36.00,"Cajita Feliz de McDonald's (1990) - I Like Bikes, conjunto de juguetes."
174,MC,The Jungle Book,1990,36.00,Cajita Feliz de McDonald's (1990) - The Jungle Book.
175,MC,Super Mario Bros. 3,1990,36.00,"Cajita Feliz de McDonald's (1990) - Super Mario Bros. 3, conjunto de juguetes."
176,MC,Dink the Little Dinosaur,1990,36.00,"Cajita Feliz de McDonald's (1990) - Dink the Little Dinosaur, conjunto de juguetes."
177,MC,Tom & Jerry Band,1990,36.00,"Cajita Feliz de McDonald's (1990) - Tom & Jerry Band, conjunto de juguetes."
178,MC,Turbo Macs,1990,36.00,"Cajita Feliz de McDonald's (1990) - Turbo Macs, conjunto de juguetes."
179,MC,Fry Benders,1990,36.00,"Cajita Feliz de McDonald's (1990) - Fry Benders, conjunto de juguetes."
180,MC,McDonaldland Carnival,1990,36.00,"Cajita Feliz de McDonald's (1990) - McDonaldland Carnival, conjunto de juguetes."
181,MC,Sports Ball Happy Meal,1990,36.00,"Cajita Feliz de McDonald's (1990) - Sports Ball Happy Meal, conjunto de juguetes."
182,MC,Hats,1990,36.00,"Cajita Feliz de McDonald's (1990) - Hats, conjunto de juguetes."
