ID,STORE,NAME,YEAR,RELEASE DATE,END DATE,TODAY RESELL ESTIMATED VALUE (USD)
372,MC,Barbie/Hot Wheels: Highway 35 World Race,2003,2003-08-15,2003-09-04,
373,MC,Disney’s Kim Possible,2003,2003-09-05,2003-10-02,
374,MC,Stretch Screamers/Madame Alexander,2003,2003-10-03,2003-10-03,
375,MC,Brother Bear,2003,2003-10-31,2003-11-25,
376,MC,The Haunted Mansion,2003,2003-11-26,2003-12-18,
377,MC,Disney Princess/Power Rangers: Dino Thunder,2003,2003-12-19,2003-01-08,
378,MC,Lilo and Stitch: The Series,2004,2004-01-09,2004-02-05,
379,MC,The Lion King 1 1/2,2004,2004-02-06,2004-03-04,
380,MC,Lego Clikets/Lego Sports,2004,2004-03-05,2004-04-01,
381,MC,The Dog,2004,2004-04-02,2004-04-02,
382,MC,ESPN Sports,2004,2004-04-30,2004-05-27,
383,MC,Neopets,2004,2004-05-28,2004-06-24,
384,MC,MyScene/Tony Hawk: BoomBoom HuckJam,2004,2004-06-25,2004-06-25,
385,MC,Ty Teenie Beanie Babies,2004,2004-07-23,2004-08-19,
386,MC,Polly Pocket/Hot Wheels,2004,2004-08-20,2004-09-16,
387,MC,Hello Kitty 30th Anniversary/G.I. Joe,2004,2004-09-17,2004-10-14,
388,MC,Walt Disney’s Aladdin/Madame Alexander,2004,2004-10-15,2004-11-04,
389,MC,Disney Pixar’s The Incredibles,2004,2004-11-05,2004-12-02,
390,MC,Sega Handheld Games,2004,2004-12-03,2004-12-03,
391,MC,Dave the Barbarian/Lizzie McGuire,2004,2004-12-28,2004-01-20,
392,MC,My Little Pony/Duel Masters,2005,2005-01-28,2005-02-24,
393,MC,That's So Raven/NBA,2005,2005-02-25,2005-03-17,
394,MC,Pixar Pals,2005,2005-03-18,2005-04-14,
395,MC,The Dog/The Cat,2005,2005-04-15,2005-05-12,
396,MC,Drake & Josh/Winx Club,2005,2005-05-13,2005-06-09,
397,MC,The Adventures of Sharkboy and Lavagirl in 3,2005,2005-06-10,2005-07-07,
398,MC,Neopets,2005,2005-07-08,2005-08-04,
399,MC,Barbie and the Magic of Pegasus/Hot Wheels: AcceleRacers,2005,2005-08-05,2005-09-01,
400,MC,Walt Disney Parks and Resorts,2005,2005-09-02,2005-09-02,
401,MC,Madame Alexander/Nickelodeon Tak: The Great Juju Challenge,2005,2005-09-30,2005-10-27,
402,MC,Disney’s Chicken Little,2005,2005-10-28,2005-11-22,
403,MC,Power Rangers/W.I.T.C.H,2005,2005-11-23,2005-12-15,
404,MC,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,2005-12-16,2005-01-19,
405,MC,Strawberry Shortcake/Dragon Booster,2006,2006-01-27,2006-02-23,
406,MC,Doogal,2006,2006-02-24,2006-03-16,
407,MC,Trollz/Spy Gear,2006,2006-03-17,2006-04-13,
408,MC,The Wild,2006,2006-04-14,2006-05-11,
409,MC,Build,2006,2006-05-12,2006-06-08,
410,MC,Disney Pixar’s Cars,2006,2006-06-09,2006-07-06,
411,MC,Pirates of the Caribbean,2006,2006-07-07,2006-08-03,
412,MC,Hummer/Polly Pocket in PollyWorld,2006,2006-08-04,2006-08-04,
413,MC,Take the Mario Challenge,2006,2006-09-01,2006-09-01,
414,MC,LEGO Bionicle/Disney’s The Little Mermaid,2006,2006-09-22,2006-10-12,
415,MC,Hot Wheels/Barbie and the 12 Dancing Princesses,2006,2006-10-13,2006-11-02,
416,MC,Dreamworks Flushed Away,2006,2006-11-03,2006-11-03,
417,MC,Iz from Zizzle,2006,2006-12-01,2006-12-01,
418,MC,Yu,2006,2006-12-22,2006-01-18,
419,MC,Nickelodeon’s Catscratch,2007,2007-01-26,2007-02-22,
